Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years,CPI
1981-07-01,61280.27,1.31,238.8,163.88,5053,18991,0.123,1.553130759,2.638888889,1.424365482,1.013267813,1.213315813,1.185637012,,91.5
1981-08-01,61594.7,1.31,238.6,167.27,5053,18991,0.12,1.566230911,2.638888889,1.422335025,1.054914005,1.213315813,1.185637012,,92.2
1981-09-01,61711.34,1.31,239.7,168.75,5053,18991,0.124,1.571090505,2.638888889,1.433502538,1.073095823,1.213315813,1.185637012,,93.1
1981-10-01,61795.02,1.31,237.4,169.7,5053,18991,0.13,1.574576879,2.638888889,1.410152284,1.084766585,1.213315813,1.185637012,,93.4
1981-11-01,61798.83,1.31,234.9,167.38,5053,18991,0.132,1.574735616,2.638888889,1.384771574,1.056265356,1.213315813,1.185637012,,93.8
1981-12-01,61848.27,1.31,234,166.53,5053,18991,0.125,1.576795443,2.638888889,1.375634518,1.045823096,1.213315813,1.185637012,,94.1
1982-01-01,61890.11,1.22,232.9,167.38,5436,20064,0.127,1.578538631,2.388888889,1.364467005,1.056265356,1.38107753,1.309126482,,94.4
1982-02-01,61990.27,1.22,234,170.02,5436,20064,0.121,1.582711615,2.388888889,1.375634518,1.088697789,1.38107753,1.309126482,,94.7
1982-03-01,61956.04,1.22,233,170.76,5436,20064,0.122,1.581285484,2.388888889,1.365482234,1.097788698,1.38107753,1.309126482,,94.7
1982-04-01,62037.18,1.22,236.3,172.45,5436,20064,0.129,1.584666034,2.388888889,1.398984772,1.118550369,1.38107753,1.309126482,,95
1982-05-01,62118.32,1.22,242.3,179.44,5436,20064,0.123,1.588046584,2.388888889,1.459898477,1.204422604,1.38107753,1.309126482,,95.9
1982-06-01,62113.25,1.22,250.3,185.57,5436,20064,0.123,1.587835352,2.388888889,1.541116751,1.27972973,1.38107753,1.309126482,,97
1982-07-01,62096.77,1.22,247.5,191.6,5436,20064,0.125,1.587148743,2.388888889,1.512690355,1.353808354,1.38107753,1.309126482,,97.5
1982-08-01,62068.88,1.22,242.7,194.14,5436,20064,0.126,1.585986757,2.388888889,1.463959391,1.385012285,1.38107753,1.309126482,,97.7
1982-09-01,62090.43,1.22,241.9,201.34,5436,20064,0.118,1.586884598,2.388888889,1.455837563,1.473464373,1.38107753,1.309126482,,97.7
1982-10-01,62091.7,1.22,234.6,201.97,5436,20064,0.113,1.586937511,2.388888889,1.381725888,1.481203931,1.38107753,1.309126482,,98.1
1982-11-01,62095.5,1.22,233.1,197.85,5436,20064,0.109,1.587095831,2.388888889,1.366497462,1.430589681,1.38107753,1.309126482,,98
1982-12-01,62200.73,1.22,231.7,194.14,5436,20064,0.109,1.591480047,2.388888889,1.352284264,1.385012285,1.38107753,1.309126482,,97.7
1983-01-01,62408.66,1.16,232.9,195.73,5614,20986,0.111,1.600143071,2.222222222,1.364467005,1.404545455,1.459045116,1.415237657,,97.9
1983-02-01,62733.23,1.16,234.6,193.93,5614,20986,0.111,1.613665689,2.222222222,1.381725888,1.382432432,1.459045116,1.415237657,,98
1983-03-01,62993.14,1.16,234.1,191.18,5614,20986,0.106,1.624494365,2.222222222,1.376649746,1.348648649,1.459045116,1.415237657,,98.1
1983-04-01,63317.71,1.16,240.3,183.99,5614,20986,0.103,1.638016983,2.222222222,1.439593909,1.26031941,1.459045116,1.415237657,,98.8
1983-05-01,63635.94,1.16,242.5,181.02,5614,20986,0.099,1.651275456,2.222222222,1.461928934,1.223832924,1.459045116,1.415237657,,99.2
1983-06-01,63947.83,1.16,240,177.96,5614,20986,0.091,1.664269784,2.222222222,1.436548223,1.186240786,1.459045116,1.415237657,,99.4
1983-07-01,64312.97,1.16,237.9,176.26,5614,20986,0.096,1.679482677,2.222222222,1.415228426,1.165356265,1.459045116,1.415237657,,99.8
1983-08-01,64598.24,1.16,234.5,175.31,5614,20986,0.092,1.691367931,2.222222222,1.38071066,1.153685504,1.459045116,1.415237657,,100.1
1983-09-01,64770.67,1.16,230.7,173.41,5614,20986,0.096,1.698551913,2.222222222,1.34213198,1.13034398,1.459045116,1.415237657,,100.4
1983-10-01,64892.38,1.16,227.9,171.71,5614,20986,0.097,1.703622738,2.222222222,1.313705584,1.109459459,1.459045116,1.415237657,,100.8
1983-11-01,64981.13,1.16,227.2,168.22,5614,20986,0.103,1.707320345,2.222222222,1.306598985,1.066584767,1.459045116,1.415237657,,101.1
1983-12-01,65151.02,1.16,226.4,167.27,5614,20986,0.101,1.714398502,2.222222222,1.298477157,1.054914005,1.459045116,1.415237657,,101.4
1984-01-01,65341.2,1.13,235.2,171.61,5774,22438,0.1,1.722322006,2.138888889,1.387817259,1.108230958,1.52912834,1.582345494,,102.1
1984-02-01,65551.66,1.13,239.8,172.35,5774,22438,0.117,1.731090438,2.138888889,1.434517766,1.117321867,1.52912834,1.582345494,,102.6
1984-03-01,65850.88,1.13,240.4,168.65,5774,22438,0.115,1.743556894,2.138888889,1.440609137,1.071867322,1.52912834,1.582345494,,102.9
1984-04-01,66219.82,1.13,240.6,169.07,5774,22438,0.115,1.758928106,2.138888889,1.442639594,1.077027027,1.52912834,1.582345494,,103.3
1984-05-01,66636.94,1.13,237.8,167.8,5774,22438,0.111,1.776306651,2.138888889,1.414213198,1.061425061,1.52912834,1.582345494,,103.5
1984-06-01,67021.1,1.13,235.6,169.17,5774,22438,0.111,1.792311977,2.138888889,1.391878173,1.078255528,1.52912834,1.582345494,,103.7
1984-07-01,67391.31,1.13,232.3,171.61,5774,22438,0.116,1.807736102,2.138888889,1.358375635,1.108230958,1.52912834,1.582345494,,104.1
1984-08-01,67714.61,1.13,233.1,175.73,5774,22438,0.118,1.821205807,2.138888889,1.366497462,1.158845209,1.52912834,1.582345494,,104.4
1984-09-01,67914.94,1.13,231.2,173.09,5774,22438,0.118,1.829552192,2.138888889,1.347208122,1.126412776,1.52912834,1.582345494,,104.7
1984-10-01,68040.45,1.13,230.9,173.41,5774,22438,0.117,1.834781337,2.138888889,1.344162437,1.13034398,1.52912834,1.582345494,,105.1
1984-11-01,68050.6,1.13,232.6,171.82,5774,22438,0.109,1.835204218,2.138888889,1.36142132,1.110810811,1.52912834,1.582345494,,105.3
